City,State,Latitude,Longitude
aaron,ky,36.81257,-85.18079
aaronsburg,pa,40.89979,-77.45332
abbeville,al,31.57184,-85.25049
abbeville,ga,31.99212,-83.30682
abbeville,la,30.00354,-92.15547
abbeville,ms,34.50316,-89.50314
abbeville,sc,34.17817,-82.37901
abbot,me,45.19376,-69.47581
abbotsford,wi,44.94636,-90.31597
abbott,tx,31.88488,-97.07334
abbottstown,pa,39.88649,-76.98470
abbyville,ks,37.97085,-98.20423
abell,md,38.25100,-76.73974
abercrombie,nd,46.44774,-96.73036
aberdeen,id,42.94408,-112.83833
aberdeen,ky,37.27956,-86.67018
aberdeen,md,39.50818,-76.18066
aberdeen,ms,33.82511,-88.54366
aberdeen,nc,35.12416,-79.44150
aberdeen,oh,38.65563,-83.76103
aberdeen,sd,45.52713,-98.41925
aberdeen,wa,46.97537,-123.81572
aberdeen proving ground,md,39.46686,-76.13066
abernant,al,33.31101,-87.18975
abernathy,tx,33.83230,-101.84295
abie,ne,41.33418,-96.94892
abilene,ks,38.91722,-97.21391
abilene,tx,32.39796,-99.79823
abingdon,il,40.80448,-90.40180
abingdon,md,39.47390,-76.29830
abingdon,va,36.68016,-81.96844
abington,ct,41.84730,-72.02528
abington,ma,42.11953,-70.94787
abington,pa,40.12067,-75.11795
abiquiu,nm,36.20724,-106.31864
abita springs,la,30.48272,-90.00103
abrams,wi,44.77916,-88.05983
absaraka,nd,46.97803,-97.39453
absarokee,mt,45.52225,-109.48875
absecon,nj,39.44815,-74.47620
acampo,ca,38.20019,-121.23505
accident,md,39.62870,-79.31976
accokeek,md,38.67222,-77.01807
accomac,va,37.71957,-75.66548
accord,ma,41.97047,-70.70136
accord,ny,41.81132,-74.23471
accoville,wv,37.76872,-81.83706
ace,tx,30.51988,-94.81869
achille,ok,33.83343,-96.38721
achilles,va,37.28014,-76.44023
ackerly,tx,32.52650,-101.71597
ackerman,ms,33.31012,-89.17284
ackermanville,pa,40.69338,-75.47116
ackley,ia,42.55415,-93.05326
ackworth,ia,41.36694,-93.47271
acme,la,31.25247,-91.77031
acme,mi,44.78938,-85.48845
acme,pa,40.12674,-79.42865
acme,wa,48.68158,-122.19770
acosta,pa,40.11035,-79.06892
acra,ny,42.33040,-74.08570
acton,ca,34.46999,-118.19674
acton,ma,42.47714,-71.44220
acton,me,43.54812,-70.93189
acton,mt,45.93051,-108.68070
acushnet,ma,41.69702,-70.91019
acworth,ga,34.05911,-84.68086
acworth,nh,43.21785,-72.29203
ada,ks,39.15139,-97.88921
ada,mi,42.99281,-85.51959
ada,mn,47.29969,-96.51535
ada,oh,40.76950,-83.82271
ada,ok,34.75777,-96.67847
adah,pa,39.88310,-79.89080
adair,ia,41.50054,-94.64359
adair,il,40.40128,-90.50153
adair,ok,36.43433,-95.25512
adairsville,ga,34.36870,-84.93411
adairville,ky,36.66754,-86.85194
adak,ak,51.88000,-176.65806
adamant,vt,44.35430,-72.49053
adams,ky,38.07605,-82.73975
adams,ma,42.62425,-73.11760
adams,mn,43.56524,-92.71935
adams,nd,48.42139,-98.07899
adams,ne,40.47205,-96.52637
adams,ny,43.80765,-76.04936
adams,ok,36.75641,-101.07711
adams,or,45.71913,-118.46578
adams,tn,36.58227,-87.06556
adams,wi,43.95608,-89.81818
adams basin,ny,43.19756,-77.85390
adams center,ny,43.86006,-76.00548
adams run,sc,32.72073,-80.34816
adamsburg,pa,40.31174,-79.65615
adamstown,md,39.29100,-77.45520
adamstown,pa,40.24120,-76.05633
adamsville,al,33.60094,-86.95611
adamsville,oh,40.06979,-81.88235
adamsville,pa,41.51116,-80.36979
adamsville,ri,41.53013,-71.28407
adamsville,tn,35.23591,-88.39060
addieville,il,38.39144,-89.49009
addington,ok,34.24454,-97.96698
addis,la,30.35380,-91.26539
addison,al,34.20232,-87.18140
addison,il,41.88563,-88.04547
addison,me,44.55607,-67.70122
addison,mi,41.98643,-84.34717
addison,ny,42.10285,-77.23359
addison,pa,39.74730,-79.33920
addison,tx,32.96179,-96.82917
addy,wa,48.30586,-117.94318
addyston,oh,39.13672,-84.70911
adel,ga,31.13727,-83.42408
adel,ia,41.61443,-94.01745
adel,or,42.17739,-119.89856
adelanto,ca,34.58277,-117.40922
adell,wi,43.61014,-88.03047
adelphi,oh,39.46673,-82.74711
adelphia,nj,40.30272,-74.24928
adena,oh,40.21868,-80.87287
adger,al,33.43430,-87.16750
adin,ca,41.19378,-120.94524
adirondack,ny,43.76395,-73.75846
adkins,tx,29.38050,-98.26500
admire,ks,38.63930,-96.10170
adna,wa,46.57132,-123.29838
adolph,mn,47.64037,-92.44280
adolphus,ky,36.67750,-86.26360
adona,ar,35.03814,-92.89795
adrian,ga,32.53072,-82.58930
adrian,il,40.41615,-91.20580
adrian,mi,41.89755,-84.03717
adrian,mn,43.63497,-95.93280
adrian,mo,38.39752,-94.35162
adrian,oh,41.09071,-83.36540
adrian,or,43.66125,-117.07192
adrian,pa,40.90490,-79.50740
adrian,tx,35.27478,-102.66521
adrian,wv,38.90538,-80.27564
advance,in,39.99588,-86.62000
advance,mo,37.10450,-89.91065
advance,nc,35.94125,-80.40922
advent,wv,38.61037,-81.55874
afton,ia,41.02749,-94.19801
afton,mi,45.35507,-84.47898
afton,mn,44.90313,-92.81904
afton,ny,42.22814,-75.52657
afton,ok,36.69369,-94.96302
afton,tn,36.21886,-82.74704
afton,tx,33.76286,-100.81680
afton,va,38.03236,-78.83919
afton,wi,42.60390,-89.07122
afton,wy,42.72493,-110.93187
agar,sd,44.83832,-100.07457
agate,co,39.46165,-103.94218
agate,nd,48.61738,-99.63453
agawam,ma,42.06954,-72.61481
agency,ia,40.99502,-92.30685
agency,mo,39.64472,-94.73996
agenda,ks,39.70778,-97.43170
ages brookside,ky,36.85926,-83.24934
agness,or,42.55650,-124.06898
agoura hills,ca,33.95813,-118.53237
agra,ks,39.76168,-99.11925
agra,ok,35.89478,-96.87225
agua dulce,tx,27.78169,-97.90861
aguanga,ca,33.48598,-116.82004
aguila,az,33.94281,-113.17408
aguilar,co,37.40279,-104.65332
ah gwah ching,mn,46.86233,-94.64187
ahmeek,mi,47.29881,-88.39650
ahoskie,nc,36.28682,-76.98468
ahsahka,id,46.50212,-116.32403
ahwahnee,ca,37.38870,-119.72439
aiea,hi,21.38222,-157.93361
aiken,sc,33.59851,-81.65728
aiken,tx,34.07151,-101.30313
ailey,ga,32.18740,-82.56569
aimwell,la,31.76190,-91.99250
ainsworth,ia,41.32037,-91.54755
ainsworth,ne,42.54030,-99.86150
airville,pa,39.82100,-76.40120
airway heights,wa,47.64461,-117.59327
aitkin,mn,46.53301,-93.71025
ajo,az,32.37172,-112.86071
akaska,sd,45.33249,-100.12068
akeley,mn,47.00100,-94.72340
akers,la,30.61237,-90.40531
akiachak,ak,60.88981,-161.42393
akiak,ak,60.91222,-161.21389
akin,il,37.99430,-88.94167
akron,al,32.87151,-87.73326
akron,co,40.16054,-103.21438
akron,ia,42.82888,-96.55948
akron,in,41.03838,-86.02805
akron,mi,43.58782,-83.53468
akron,ny,43.02089,-78.49530
akron,oh,41.08254,-81.51575
akron,pa,40.15676,-76.20217
akutan,ak,54.13556,-165.77306
alabama,ny,42.99805,-78.18481
alabaster,al,33.24428,-86.81638
alachua,fl,29.79631,-82.49112
aladdin,wy,44.63999,-104.18355
alakanuk,ak,62.68339,-164.65455
alamance,nc,36.03514,-79.48585
alameda,ca,37.75249,-122.25216
alamo,ca,37.85020,-122.03218
alamo,ga,32.14712,-82.77792
alamo,in,39.98199,-87.05723
alamo,nd,48.58169,-103.46991
alamo,nv,37.38195,-115.31502
alamo,tn,35.78479,-89.11729
alamo,tx,26.18369,-98.12306
alamogordo,nm,32.79754,-105.78643
alamosa,co,37.47274,-105.87590
alanreed,tx,35.21255,-100.73431
alanson,mi,45.44418,-84.78671
alapaha,ga,31.38520,-83.22293
alba,mi,44.97473,-84.96866
alba,mo,37.23839,-94.41745
alba,pa,41.77197,-76.52127
alba,tx,32.79290,-95.63440
albany,ca,37.88687,-122.29775
albany,ga,31.55889,-84.17073
albany,il,41.76600,-90.22322
albany,in,40.29075,-85.25293
albany,ky,36.69090,-85.13468
albany,la,30.50436,-90.58231
albany,mn,45.62996,-94.57000
albany,mo,40.24861,-94.33107
albany,ny,42.65276,-73.85140
albany,oh,39.20252,-82.21421
albany,ok,33.88149,-96.16276
albany,or,44.62928,-123.08363
albany,tx,32.72345,-99.29730
albany,vt,44.73088,-72.37983
albany,wi,42.71815,-89.44315
albemarle,nc,35.30716,-80.15412
albers,il,38.54338,-89.61231
albert,ks,38.45279,-99.01148
albert,ok,35.20321,-98.35742
albert city,ia,42.78192,-94.94860
albert lea,mn,43.64801,-93.36827
alberta,al,32.23209,-87.41000
alberta,mn,45.57330,-96.04755
alberta,va,36.86570,-77.88639
